,Disease.ID,Disorder.name,Gene.symbols,OMIM.ID,Chromosome,Class,Final.Search,description
1020,495,"""Epilepsy, childhood absence, 607682 (3)""","""CLCN2, EGMA, ECA3, EGI3""",600570,3q26-qter,Neurological,Epilepsy,"Epilepsy is a group of neurological diseases characterized by epileptic seizures. Epileptic seizures are episodes that can vary from brief and nearly undetectable to long periods of vigorous shaking. These episodes can result in physical injuries including occasionally broken bones. In epilepsy, seizures tend to recur, and have no immediate underlying cause. Isolated seizures that are provoked by a specific cause such as poisoning are not deemed to represent epilepsy. People with epilepsy in some areas of the world experience stigma due to the condition.
The cause of most cases of epilepsy is unknown, although some people develop epilepsy as the result of brain injury, stroke, brain tumors, infections of the brain, and birth defects. Known genetic mutations are directly linked to a small proportion of cases. Epileptic seizures are the result of excessive and abnormal nerve cell activity in the cortex of the brain. The diagnosis involves ruling out other conditions that might cause similar symptoms such as fainting and determining if another cause of seizures is present such as alcohol withdrawal or electrolyte problems. This may be partly done by imaging the brain and performing blood tests. Epilepsy can often be confirmed with an electroencephalogram (EEG), but a normal test does not rule out the condition.
Epilepsy that occurs as a result of other issues can be prevented. Seizures are controllable with medication in about 70% of cases. Inexpensive options are often available. In those whose seizures do not respond to medication, then surgery, neurostimulation, or dietary changes may be considered. Not all cases of epilepsy are lifelong, and many people improve to the point that treatment is no longer needed.
As of 2013 about 22 million people have epilepsy. Nearly 80% of cases occur in the developing world. In 2013 it resulted in 116,000 deaths up from 112,000 deaths in 1990. Epilepsy becomes more common as people age. In the developed world, onset of new cases occurs most frequently in babies and the elderly. In the developing world onset is more common in older children and young adults, due to differences in the frequency of the underlying causes. About 5â€“10% of people will have an unprovoked seizure by the age of 80, and the chance of experiencing a second seizure is between 40 and 50%. In many areas of the world those with epilepsy either have restrictions placed on their ability to drive or are not permitted to drive until they are free of seizures for a specific length of time. The word epilepsy is from Ancient Greek: á_êÎµÏ€Î_Î»Î±Î_Î_Î¬Î_ÎµÎ_Î_ ""to seize, possess, or afflict""."
1021,495,"""Epilepsy, childhood absence, evolving to juvenile myoclonic epilepsy (3)""","""JRK, JH8""",603210,8q24,Neurological,Epilepsy,"Epilepsy is a group of neurological diseases characterized by epileptic seizures. Epileptic seizures are episodes that can vary from brief and nearly undetectable to long periods of vigorous shaking. These episodes can result in physical injuries including occasionally broken bones. In epilepsy, seizures tend to recur, and have no immediate underlying cause. Isolated seizures that are provoked by a specific cause such as poisoning are not deemed to represent epilepsy. People with epilepsy in some areas of the world experience stigma due to the condition.
The cause of most cases of epilepsy is unknown, although some people develop epilepsy as the result of brain injury, stroke, brain tumors, infections of the brain, and birth defects. Known genetic mutations are directly linked to a small proportion of cases. Epileptic seizures are the result of excessive and abnormal nerve cell activity in the cortex of the brain. The diagnosis involves ruling out other conditions that might cause similar symptoms such as fainting and determining if another cause of seizures is present such as alcohol withdrawal or electrolyte problems. This may be partly done by imaging the brain and performing blood tests. Epilepsy can often be confirmed with an electroencephalogram (EEG), but a normal test does not rule out the condition.
Epilepsy that occurs as a result of other issues can be prevented. Seizures are controllable with medication in about 70% of cases. Inexpensive options are often available. In those whose seizures do not respond to medication, then surgery, neurostimulation, or dietary changes may be considered. Not all cases of epilepsy are lifelong, and many people improve to the point that treatment is no longer needed.
As of 2013 about 22 million people have epilepsy. Nearly 80% of cases occur in the developing world. In 2013 it resulted in 116,000 deaths up from 112,000 deaths in 1990. Epilepsy becomes more common as people age. In the developed world, onset of new cases occurs most frequently in babies and the elderly. In the developing world onset is more common in older children and young adults, due to differences in the frequency of the underlying causes. About 5â€“10% of people will have an unprovoked seizure by the age of 80, and the chance of experiencing a second seizure is between 40 and 50%. In many areas of the world those with epilepsy either have restrictions placed on their ability to drive or are not permitted to drive until they are free of seizures for a specific length of time. The word epilepsy is from Ancient Greek: á_êÎµÏ€Î_Î»Î±Î_Î_Î¬Î_ÎµÎ_Î_ ""to seize, possess, or afflict""."
1022,495,"""Epilepsy, generalized idiopathic, 600669 (3)""","""CACNB4, EJM""",601949,2q22-q23,Neurological,Epilepsy,"Epilepsy is a group of neurological diseases characterized by epileptic seizures. Epileptic seizures are episodes that can vary from brief and nearly undetectable to long periods of vigorous shaking. These episodes can result in physical injuries including occasionally broken bones. In epilepsy, seizures tend to recur, and have no immediate underlying cause. Isolated seizures that are provoked by a specific cause such as poisoning are not deemed to represent epilepsy. People with epilepsy in some areas of the world experience stigma due to the condition.
The cause of most cases of epilepsy is unknown, although some people develop epilepsy as the result of brain injury, stroke, brain tumors, infections of the brain, and birth defects. Known genetic mutations are directly linked to a small proportion of cases. Epileptic seizures are the result of excessive and abnormal nerve cell activity in the cortex of the brain. The diagnosis involves ruling out other conditions that might cause similar symptoms such as fainting and determining if another cause of seizures is present such as alcohol withdrawal or electrolyte problems. This may be partly done by imaging the brain and performing blood tests. Epilepsy can often be confirmed with an electroencephalogram (EEG), but a normal test does not rule out the condition.
Epilepsy that occurs as a result of other issues can be prevented. Seizures are controllable with medication in about 70% of cases. Inexpensive options are often available. In those whose seizures do not respond to medication, then surgery, neurostimulation, or dietary changes may be considered. Not all cases of epilepsy are lifelong, and many people improve to the point that treatment is no longer needed.
As of 2013 about 22 million people have epilepsy. Nearly 80% of cases occur in the developing world. In 2013 it resulted in 116,000 deaths up from 112,000 deaths in 1990. Epilepsy becomes more common as people age. In the developed world, onset of new cases occurs most frequently in babies and the elderly. In the developing world onset is more common in older children and young adults, due to differences in the frequency of the underlying causes. About 5â€“10% of people will have an unprovoked seizure by the age of 80, and the chance of experiencing a second seizure is between 40 and 50%. In many areas of the world those with epilepsy either have restrictions placed on their ability to drive or are not permitted to drive until they are free of seizures for a specific length of time. The word epilepsy is from Ancient Greek: á_êÎµÏ€Î_Î»Î±Î_Î_Î¬Î_ÎµÎ_Î_ ""to seize, possess, or afflict""."
1023,495,"""Epilepsy, generalized, with febrile seizures plus, 604233 (3)""","""GABRG2, GEFSP3, CAE2, ECA2""",137164,5q31.1-q33.1,Neurological,Epilepsy,"Epilepsy is a group of neurological diseases characterized by epileptic seizures. Epileptic seizures are episodes that can vary from brief and nearly undetectable to long periods of vigorous shaking. These episodes can result in physical injuries including occasionally broken bones. In epilepsy, seizures tend to recur, and have no immediate underlying cause. Isolated seizures that are provoked by a specific cause such as poisoning are not deemed to represent epilepsy. People with epilepsy in some areas of the world experience stigma due to the condition.
The cause of most cases of epilepsy is unknown, although some people develop epilepsy as the result of brain injury, stroke, brain tumors, infections of the brain, and birth defects. Known genetic mutations are directly linked to a small proportion of cases. Epileptic seizures are the result of excessive and abnormal nerve cell activity in the cortex of the brain. The diagnosis involves ruling out other conditions that might cause similar symptoms such as fainting and determining if another cause of seizures is present such as alcohol withdrawal or electrolyte problems. This may be partly done by imaging the brain and performing blood tests. Epilepsy can often be confirmed with an electroencephalogram (EEG), but a normal test does not rule out the condition.
Epilepsy that occurs as a result of other issues can be prevented. Seizures are controllable with medication in about 70% of cases. Inexpensive options are often available. In those whose seizures do not respond to medication, then surgery, neurostimulation, or dietary changes may be considered. Not all cases of epilepsy are lifelong, and many people improve to the point that treatment is no longer needed.
As of 2013 about 22 million people have epilepsy. Nearly 80% of cases occur in the developing world. In 2013 it resulted in 116,000 deaths up from 112,000 deaths in 1990. Epilepsy becomes more common as people age. In the developed world, onset of new cases occurs most frequently in babies and the elderly. In the developing world onset is more common in older children and young adults, due to differences in the frequency of the underlying causes. About 5â€“10% of people will have an unprovoked seizure by the age of 80, and the chance of experiencing a second seizure is between 40 and 50%. In many areas of the world those with epilepsy either have restrictions placed on their ability to drive or are not permitted to drive until they are free of seizures for a specific length of time. The word epilepsy is from Ancient Greek: á_êÎµÏ€Î_Î»Î±Î_Î_Î¬Î_ÎµÎ_Î_ ""to seize, possess, or afflict""."
1024,495,"""Epilepsy, generalized, with febrile seizures plus, type 2, 604233 (3)""","""SCN1A, GEFSP2, SMEI""",182389,2q24,Neurological,Epilepsy,"Epilepsy is a group of neurological diseases characterized by epileptic seizures. Epileptic seizures are episodes that can vary from brief and nearly undetectable to long periods of vigorous shaking. These episodes can result in physical injuries including occasionally broken bones. In epilepsy, seizures tend to recur, and have no immediate underlying cause. Isolated seizures that are provoked by a specific cause such as poisoning are not deemed to represent epilepsy. People with epilepsy in some areas of the world experience stigma due to the condition.
The cause of most cases of epilepsy is unknown, although some people develop epilepsy as the result of brain injury, stroke, brain tumors, infections of the brain, and birth defects. Known genetic mutations are directly linked to a small proportion of cases. Epileptic seizures are the result of excessive and abnormal nerve cell activity in the cortex of the brain. The diagnosis involves ruling out other conditions that might cause similar symptoms such as fainting and determining if another cause of seizures is present such as alcohol withdrawal or electrolyte problems. This may be partly done by imaging the brain and performing blood tests. Epilepsy can often be confirmed with an electroencephalogram (EEG), but a normal test does not rule out the condition.
Epilepsy that occurs as a result of other issues can be prevented. Seizures are controllable with medication in about 70% of cases. Inexpensive options are often available. In those whose seizures do not respond to medication, then surgery, neurostimulation, or dietary changes may be considered. Not all cases of epilepsy are lifelong, and many people improve to the point that treatment is no longer needed.
As of 2013 about 22 million people have epilepsy. Nearly 80% of cases occur in the developing world. In 2013 it resulted in 116,000 deaths up from 112,000 deaths in 1990. Epilepsy becomes more common as people age. In the developed world, onset of new cases occurs most frequently in babies and the elderly. In the developing world onset is more common in older children and young adults, due to differences in the frequency of the underlying causes. About 5â€“10% of people will have an unprovoked seizure by the age of 80, and the chance of experiencing a second seizure is between 40 and 50%. In many areas of the world those with epilepsy either have restrictions placed on their ability to drive or are not permitted to drive until they are free of seizures for a specific length of time. The word epilepsy is from Ancient Greek: á_êÎµÏ€Î_Î»Î±Î_Î_Î¬Î_ÎµÎ_Î_ ""to seize, possess, or afflict""."
1025,495,"""Epilepsy, idopathic generalized, susceptibility to, 600669 (3)""",ME2,154270,18q21,Neurological,Epilepsy,"Epilepsy is a group of neurological diseases characterized by epileptic seizures. Epileptic seizures are episodes that can vary from brief and nearly undetectable to long periods of vigorous shaking. These episodes can result in physical injuries including occasionally broken bones. In epilepsy, seizures tend to recur, and have no immediate underlying cause. Isolated seizures that are provoked by a specific cause such as poisoning are not deemed to represent epilepsy. People with epilepsy in some areas of the world experience stigma due to the condition.
The cause of most cases of epilepsy is unknown, although some people develop epilepsy as the result of brain injury, stroke, brain tumors, infections of the brain, and birth defects. Known genetic mutations are directly linked to a small proportion of cases. Epileptic seizures are the result of excessive and abnormal nerve cell activity in the cortex of the brain. The diagnosis involves ruling out other conditions that might cause similar symptoms such as fainting and determining if another cause of seizures is present such as alcohol withdrawal or electrolyte problems. This may be partly done by imaging the brain and performing blood tests. Epilepsy can often be confirmed with an electroencephalogram (EEG), but a normal test does not rule out the condition.
Epilepsy that occurs as a result of other issues can be prevented. Seizures are controllable with medication in about 70% of cases. Inexpensive options are often available. In those whose seizures do not respond to medication, then surgery, neurostimulation, or dietary changes may be considered. Not all cases of epilepsy are lifelong, and many people improve to the point that treatment is no longer needed.
As of 2013 about 22 million people have epilepsy. Nearly 80% of cases occur in the developing world. In 2013 it resulted in 116,000 deaths up from 112,000 deaths in 1990. Epilepsy becomes more common as people age. In the developed world, onset of new cases occurs most frequently in babies and the elderly. In the developing world onset is more common in older children and young adults, due to differences in the frequency of the underlying causes. About 5â€“10% of people will have an unprovoked seizure by the age of 80, and the chance of experiencing a second seizure is between 40 and 50%. In many areas of the world those with epilepsy either have restrictions placed on their ability to drive or are not permitted to drive until they are free of seizures for a specific length of time. The word epilepsy is from Ancient Greek: á_êÎµÏ€Î_Î»Î±Î_Î_Î¬Î_ÎµÎ_Î_ ""to seize, possess, or afflict""."
1026,495,"""Epilepsy, juvenile absence, 607631 (3)""","""CLCN2, EGMA, ECA3, EGI3""",600570,3q26-qter,Neurological,Epilepsy,"Epilepsy is a group of neurological diseases characterized by epileptic seizures. Epileptic seizures are episodes that can vary from brief and nearly undetectable to long periods of vigorous shaking. These episodes can result in physical injuries including occasionally broken bones. In epilepsy, seizures tend to recur, and have no immediate underlying cause. Isolated seizures that are provoked by a specific cause such as poisoning are not deemed to represent epilepsy. People with epilepsy in some areas of the world experience stigma due to the condition.
The cause of most cases of epilepsy is unknown, although some people develop epilepsy as the result of brain injury, stroke, brain tumors, infections of the brain, and birth defects. Known genetic mutations are directly linked to a small proportion of cases. Epileptic seizures are the result of excessive and abnormal nerve cell activity in the cortex of the brain. The diagnosis involves ruling out other conditions that might cause similar symptoms such as fainting and determining if another cause of seizures is present such as alcohol withdrawal or electrolyte problems. This may be partly done by imaging the brain and performing blood tests. Epilepsy can often be confirmed with an electroencephalogram (EEG), but a normal test does not rule out the condition.
Epilepsy that occurs as a result of other issues can be prevented. Seizures are controllable with medication in about 70% of cases. Inexpensive options are often available. In those whose seizures do not respond to medication, then surgery, neurostimulation, or dietary changes may be considered. Not all cases of epilepsy are lifelong, and many people improve to the point that treatment is no longer needed.
As of 2013 about 22 million people have epilepsy. Nearly 80% of cases occur in the developing world. In 2013 it resulted in 116,000 deaths up from 112,000 deaths in 1990. Epilepsy becomes more common as people age. In the developed world, onset of new cases occurs most frequently in babies and the elderly. In the developing world onset is more common in older children and young adults, due to differences in the frequency of the underlying causes. About 5â€“10% of people will have an unprovoked seizure by the age of 80, and the chance of experiencing a second seizure is between 40 and 50%. In many areas of the world those with epilepsy either have restrictions placed on their ability to drive or are not permitted to drive until they are free of seizures for a specific length of time. The word epilepsy is from Ancient Greek: á_êÎµÏ€Î_Î»Î±Î_Î_Î¬Î_ÎµÎ_Î_ ""to seize, possess, or afflict""."
1027,495,"""Epilepsy, juvenile myoclonic, 606904 (3)""","""CACNB4, EJM""",601949,2q22-q23,Neurological,Epilepsy,"Epilepsy is a group of neurological diseases characterized by epileptic seizures. Epileptic seizures are episodes that can vary from brief and nearly undetectable to long periods of vigorous shaking. These episodes can result in physical injuries including occasionally broken bones. In epilepsy, seizures tend to recur, and have no immediate underlying cause. Isolated seizures that are provoked by a specific cause such as poisoning are not deemed to represent epilepsy. People with epilepsy in some areas of the world experience stigma due to the condition.
The cause of most cases of epilepsy is unknown, although some people develop epilepsy as the result of brain injury, stroke, brain tumors, infections of the brain, and birth defects. Known genetic mutations are directly linked to a small proportion of cases. Epileptic seizures are the result of excessive and abnormal nerve cell activity in the cortex of the brain. The diagnosis involves ruling out other conditions that might cause similar symptoms such as fainting and determining if another cause of seizures is present such as alcohol withdrawal or electrolyte problems. This may be partly done by imaging the brain and performing blood tests. Epilepsy can often be confirmed with an electroencephalogram (EEG), but a normal test does not rule out the condition.
Epilepsy that occurs as a result of other issues can be prevented. Seizures are controllable with medication in about 70% of cases. Inexpensive options are often available. In those whose seizures do not respond to medication, then surgery, neurostimulation, or dietary changes may be considered. Not all cases of epilepsy are lifelong, and many people improve to the point that treatment is no longer needed.
As of 2013 about 22 million people have epilepsy. Nearly 80% of cases occur in the developing world. In 2013 it resulted in 116,000 deaths up from 112,000 deaths in 1990. Epilepsy becomes more common as people age. In the developed world, onset of new cases occurs most frequently in babies and the elderly. In the developing world onset is more common in older children and young adults, due to differences in the frequency of the underlying causes. About 5â€“10% of people will have an unprovoked seizure by the age of 80, and the chance of experiencing a second seizure is between 40 and 50%. In many areas of the world those with epilepsy either have restrictions placed on their ability to drive or are not permitted to drive until they are free of seizures for a specific length of time. The word epilepsy is from Ancient Greek: á_êÎµÏ€Î_Î»Î±Î_Î_Î¬Î_ÎµÎ_Î_ ""to seize, possess, or afflict""."
1028,495,"""Epilepsy, juvenile myoclonic, 606904 (3)""","""CLCN2, EGMA, ECA3, EGI3""",600570,3q26-qter,Neurological,Epilepsy,"Epilepsy is a group of neurological diseases characterized by epileptic seizures. Epileptic seizures are episodes that can vary from brief and nearly undetectable to long periods of vigorous shaking. These episodes can result in physical injuries including occasionally broken bones. In epilepsy, seizures tend to recur, and have no immediate underlying cause. Isolated seizures that are provoked by a specific cause such as poisoning are not deemed to represent epilepsy. People with epilepsy in some areas of the world experience stigma due to the condition.
The cause of most cases of epilepsy is unknown, although some people develop epilepsy as the result of brain injury, stroke, brain tumors, infections of the brain, and birth defects. Known genetic mutations are directly linked to a small proportion of cases. Epileptic seizures are the result of excessive and abnormal nerve cell activity in the cortex of the brain. The diagnosis involves ruling out other conditions that might cause similar symptoms such as fainting and determining if another cause of seizures is present such as alcohol withdrawal or electrolyte problems. This may be partly done by imaging the brain and performing blood tests. Epilepsy can often be confirmed with an electroencephalogram (EEG), but a normal test does not rule out the condition.
Epilepsy that occurs as a result of other issues can be prevented. Seizures are controllable with medication in about 70% of cases. Inexpensive options are often available. In those whose seizures do not respond to medication, then surgery, neurostimulation, or dietary changes may be considered. Not all cases of epilepsy are lifelong, and many people improve to the point that treatment is no longer needed.
As of 2013 about 22 million people have epilepsy. Nearly 80% of cases occur in the developing world. In 2013 it resulted in 116,000 deaths up from 112,000 deaths in 1990. Epilepsy becomes more common as people age. In the developed world, onset of new cases occurs most frequently in babies and the elderly. In the developing world onset is more common in older children and young adults, due to differences in the frequency of the underlying causes. About 5â€“10% of people will have an unprovoked seizure by the age of 80, and the chance of experiencing a second seizure is between 40 and 50%. In many areas of the world those with epilepsy either have restrictions placed on their ability to drive or are not permitted to drive until they are free of seizures for a specific length of time. The word epilepsy is from Ancient Greek: á_êÎµÏ€Î_Î»Î±Î_Î_Î¬Î_ÎµÎ_Î_ ""to seize, possess, or afflict""."
1029,495,"""Epilepsy, juvenile myoclonic, 606904 (3)""","""GABRA1, EJM""",137160,5q34-q35,Neurological,Epilepsy,"Epilepsy is a group of neurological diseases characterized by epileptic seizures. Epileptic seizures are episodes that can vary from brief and nearly undetectable to long periods of vigorous shaking. These episodes can result in physical injuries including occasionally broken bones. In epilepsy, seizures tend to recur, and have no immediate underlying cause. Isolated seizures that are provoked by a specific cause such as poisoning are not deemed to represent epilepsy. People with epilepsy in some areas of the world experience stigma due to the condition.
The cause of most cases of epilepsy is unknown, although some people develop epilepsy as the result of brain injury, stroke, brain tumors, infections of the brain, and birth defects. Known genetic mutations are directly linked to a small proportion of cases. Epileptic seizures are the result of excessive and abnormal nerve cell activity in the cortex of the brain. The diagnosis involves ruling out other conditions that might cause similar symptoms such as fainting and determining if another cause of seizures is present such as alcohol withdrawal or electrolyte problems. This may be partly done by imaging the brain and performing blood tests. Epilepsy can often be confirmed with an electroencephalogram (EEG), but a normal test does not rule out the condition.
Epilepsy that occurs as a result of other issues can be prevented. Seizures are controllable with medication in about 70% of cases. Inexpensive options are often available. In those whose seizures do not respond to medication, then surgery, neurostimulation, or dietary changes may be considered. Not all cases of epilepsy are lifelong, and many people improve to the point that treatment is no longer needed.
As of 2013 about 22 million people have epilepsy. Nearly 80% of cases occur in the developing world. In 2013 it resulted in 116,000 deaths up from 112,000 deaths in 1990. Epilepsy becomes more common as people age. In the developed world, onset of new cases occurs most frequently in babies and the elderly. In the developing world onset is more common in older children and young adults, due to differences in the frequency of the underlying causes. About 5â€“10% of people will have an unprovoked seizure by the age of 80, and the chance of experiencing a second seizure is between 40 and 50%. In many areas of the world those with epilepsy either have restrictions placed on their ability to drive or are not permitted to drive until they are free of seizures for a specific length of time. The word epilepsy is from Ancient Greek: á_êÎµÏ€Î_Î»Î±Î_Î_Î¬Î_ÎµÎ_Î_ ""to seize, possess, or afflict""."
1030,495,"""Epilepsy, myoclonic, Lafora type, 254780 (3)""","""EPM2A, MELF, EPM2""",607566,6q24,Neurological,Epilepsy,"Epilepsy is a group of neurological diseases characterized by epileptic seizures. Epileptic seizures are episodes that can vary from brief and nearly undetectable to long periods of vigorous shaking. These episodes can result in physical injuries including occasionally broken bones. In epilepsy, seizures tend to recur, and have no immediate underlying cause. Isolated seizures that are provoked by a specific cause such as poisoning are not deemed to represent epilepsy. People with epilepsy in some areas of the world experience stigma due to the condition.
The cause of most cases of epilepsy is unknown, although some people develop epilepsy as the result of brain injury, stroke, brain tumors, infections of the brain, and birth defects. Known genetic mutations are directly linked to a small proportion of cases. Epileptic seizures are the result of excessive and abnormal nerve cell activity in the cortex of the brain. The diagnosis involves ruling out other conditions that might cause similar symptoms such as fainting and determining if another cause of seizures is present such as alcohol withdrawal or electrolyte problems. This may be partly done by imaging the brain and performing blood tests. Epilepsy can often be confirmed with an electroencephalogram (EEG), but a normal test does not rule out the condition.
Epilepsy that occurs as a result of other issues can be prevented. Seizures are controllable with medication in about 70% of cases. Inexpensive options are often available. In those whose seizures do not respond to medication, then surgery, neurostimulation, or dietary changes may be considered. Not all cases of epilepsy are lifelong, and many people improve to the point that treatment is no longer needed.
As of 2013 about 22 million people have epilepsy. Nearly 80% of cases occur in the developing world. In 2013 it resulted in 116,000 deaths up from 112,000 deaths in 1990. Epilepsy becomes more common as people age. In the developed world, onset of new cases occurs most frequently in babies and the elderly. In the developing world onset is more common in older children and young adults, due to differences in the frequency of the underlying causes. About 5â€“10% of people will have an unprovoked seizure by the age of 80, and the chance of experiencing a second seizure is between 40 and 50%. In many areas of the world those with epilepsy either have restrictions placed on their ability to drive or are not permitted to drive until they are free of seizures for a specific length of time. The word epilepsy is from Ancient Greek: á_êÎµÏ€Î_Î»Î±Î_Î_Î¬Î_ÎµÎ_Î_ ""to seize, possess, or afflict""."
1031,495,"""Epilepsy, myoclonic, Lafora type, 254780 (3)""","""NHLRC1, EPM2A, EPM2B""",608072,6p22.3,Neurological,Epilepsy,"Epilepsy is a group of neurological diseases characterized by epileptic seizures. Epileptic seizures are episodes that can vary from brief and nearly undetectable to long periods of vigorous shaking. These episodes can result in physical injuries including occasionally broken bones. In epilepsy, seizures tend to recur, and have no immediate underlying cause. Isolated seizures that are provoked by a specific cause such as poisoning are not deemed to represent epilepsy. People with epilepsy in some areas of the world experience stigma due to the condition.
The cause of most cases of epilepsy is unknown, although some people develop epilepsy as the result of brain injury, stroke, brain tumors, infections of the brain, and birth defects. Known genetic mutations are directly linked to a small proportion of cases. Epileptic seizures are the result of excessive and abnormal nerve cell activity in the cortex of the brain. The diagnosis involves ruling out other conditions that might cause similar symptoms such as fainting and determining if another cause of seizures is present such as alcohol withdrawal or electrolyte problems. This may be partly done by imaging the brain and performing blood tests. Epilepsy can often be confirmed with an electroencephalogram (EEG), but a normal test does not rule out the condition.
Epilepsy that occurs as a result of other issues can be prevented. Seizures are controllable with medication in about 70% of cases. Inexpensive options are often available. In those whose seizures do not respond to medication, then surgery, neurostimulation, or dietary changes may be considered. Not all cases of epilepsy are lifelong, and many people improve to the point that treatment is no longer needed.
As of 2013 about 22 million people have epilepsy. Nearly 80% of cases occur in the developing world. In 2013 it resulted in 116,000 deaths up from 112,000 deaths in 1990. Epilepsy becomes more common as people age. In the developed world, onset of new cases occurs most frequently in babies and the elderly. In the developing world onset is more common in older children and young adults, due to differences in the frequency of the underlying causes. About 5â€“10% of people will have an unprovoked seizure by the age of 80, and the chance of experiencing a second seizure is between 40 and 50%. In many areas of the world those with epilepsy either have restrictions placed on their ability to drive or are not permitted to drive until they are free of seizures for a specific length of time. The word epilepsy is from Ancient Greek: á_êÎµÏ€Î_Î»Î±Î_Î_Î¬Î_ÎµÎ_Î_ ""to seize, possess, or afflict""."
1032,495,"""Epilepsy, neonatal myoclonic, with suppression-burst pattern, 609304 (3)""","""SLC25A22, GC1""",609302,11p15.5,Neurological,Epilepsy,"Epilepsy is a group of neurological diseases characterized by epileptic seizures. Epileptic seizures are episodes that can vary from brief and nearly undetectable to long periods of vigorous shaking. These episodes can result in physical injuries including occasionally broken bones. In epilepsy, seizures tend to recur, and have no immediate underlying cause. Isolated seizures that are provoked by a specific cause such as poisoning are not deemed to represent epilepsy. People with epilepsy in some areas of the world experience stigma due to the condition.
The cause of most cases of epilepsy is unknown, although some people develop epilepsy as the result of brain injury, stroke, brain tumors, infections of the brain, and birth defects. Known genetic mutations are directly linked to a small proportion of cases. Epileptic seizures are the result of excessive and abnormal nerve cell activity in the cortex of the brain. The diagnosis involves ruling out other conditions that might cause similar symptoms such as fainting and determining if another cause of seizures is present such as alcohol withdrawal or electrolyte problems. This may be partly done by imaging the brain and performing blood tests. Epilepsy can often be confirmed with an electroencephalogram (EEG), but a normal test does not rule out the condition.
Epilepsy that occurs as a result of other issues can be prevented. Seizures are controllable with medication in about 70% of cases. Inexpensive options are often available. In those whose seizures do not respond to medication, then surgery, neurostimulation, or dietary changes may be considered. Not all cases of epilepsy are lifelong, and many people improve to the point that treatment is no longer needed.
As of 2013 about 22 million people have epilepsy. Nearly 80% of cases occur in the developing world. In 2013 it resulted in 116,000 deaths up from 112,000 deaths in 1990. Epilepsy becomes more common as people age. In the developed world, onset of new cases occurs most frequently in babies and the elderly. In the developing world onset is more common in older children and young adults, due to differences in the frequency of the underlying causes. About 5â€“10% of people will have an unprovoked seizure by the age of 80, and the chance of experiencing a second seizure is between 40 and 50%. In many areas of the world those with epilepsy either have restrictions placed on their ability to drive or are not permitted to drive until they are free of seizures for a specific length of time. The word epilepsy is from Ancient Greek: á_êÎµÏ€Î_Î»Î±Î_Î_Î¬Î_ÎµÎ_Î_ ""to seize, possess, or afflict""."
1033,495,"""Epilepsy, nocturnal frontal lobe, 1, 600513 (3)""","""CHRNA4, ENFL1""",118504,20q13.2-q13.3,Neurological,Epilepsy,"Epilepsy is a group of neurological diseases characterized by epileptic seizures. Epileptic seizures are episodes that can vary from brief and nearly undetectable to long periods of vigorous shaking. These episodes can result in physical injuries including occasionally broken bones. In epilepsy, seizures tend to recur, and have no immediate underlying cause. Isolated seizures that are provoked by a specific cause such as poisoning are not deemed to represent epilepsy. People with epilepsy in some areas of the world experience stigma due to the condition.
The cause of most cases of epilepsy is unknown, although some people develop epilepsy as the result of brain injury, stroke, brain tumors, infections of the brain, and birth defects. Known genetic mutations are directly linked to a small proportion of cases. Epileptic seizures are the result of excessive and abnormal nerve cell activity in the cortex of the brain. The diagnosis involves ruling out other conditions that might cause similar symptoms such as fainting and determining if another cause of seizures is present such as alcohol withdrawal or electrolyte problems. This may be partly done by imaging the brain and performing blood tests. Epilepsy can often be confirmed with an electroencephalogram (EEG), but a normal test does not rule out the condition.
Epilepsy that occurs as a result of other issues can be prevented. Seizures are controllable with medication in about 70% of cases. Inexpensive options are often available. In those whose seizures do not respond to medication, then surgery, neurostimulation, or dietary changes may be considered. Not all cases of epilepsy are lifelong, and many people improve to the point that treatment is no longer needed.
As of 2013 about 22 million people have epilepsy. Nearly 80% of cases occur in the developing world. In 2013 it resulted in 116,000 deaths up from 112,000 deaths in 1990. Epilepsy becomes more common as people age. In the developed world, onset of new cases occurs most frequently in babies and the elderly. In the developing world onset is more common in older children and young adults, due to differences in the frequency of the underlying causes. About 5â€“10% of people will have an unprovoked seizure by the age of 80, and the chance of experiencing a second seizure is between 40 and 50%. In many areas of the world those with epilepsy either have restrictions placed on their ability to drive or are not permitted to drive until they are free of seizures for a specific length of time. The word epilepsy is from Ancient Greek: á_êÎµÏ€Î_Î»Î±Î_Î_Î¬Î_ÎµÎ_Î_ ""to seize, possess, or afflict""."
